매체,기자,매칭 기사 수,최신 매칭일,최근 기사 제목,최근 기사 URL
여행신문,손고은,5,2026-08-03,"외국인 관광객 늘면 좋기만 할까? 호텔 요금 상승, 여행사는 출혈 경쟁에 비명 | 국내 넘어 일본으로…멀티 홈마켓 전략 펼치는 OTA | “이렇게라도 알려야”…시드니 찾은 한국인 관광객에게 ‘호소문’",https://www.traveltimes.co.kr/news/articleView.html?idxno=500144 | https://www.traveltimes.co.kr/news/articleView.html?idxno=500161 | https://www.traveltimes.co.kr/news/articleView.html?idxno=500163
호텔앤레스토랑,이주은,3,2026-08-07,"서울시-서울관광재단, '2026 우수 서울스테이' 18곳 선정 | NOL World, 외국인 전용 국내 숙소 예약 서비스 오픈 | 롯데호텔 부산, 온라인몰 '이숍' 첫 오프라인 매장 연다",https://www.hotelrestaurant.co.kr/news/articleView.html?idxno=22131 | https://www.hotelrestaurant.co.kr/news/articleView.html?idxno=22115 | https://www.hotelrestaurant.co.kr/news/articleView.html?idxno=22085
여행신문,김다미,2,2026-08-07,"여름 극성수기도 일본·중국으로…장거리는 주춤 | 소수 언어권 가이드 부족, 인바운드 간담회 화두로",https://www.traveltimes.co.kr/news/articleView.html?idxno=500196 | https://www.traveltimes.co.kr/news/articleView.html?idxno=500173
여행신문,김선주,2,2026-08-03,PATA-관광공사 만나 외래객 유치 확대 협력 논의 | 외국인 도시민박·한옥도 ‘바가지요금’ 1회 적발 시 영업정지,https://www.traveltimes.co.kr/news/articleView.html?idxno=500140 | https://www.traveltimes.co.kr/news/articleView.html?idxno=500143
호텔앤레스토랑,서현진,2,2026-07-30,"관광업계, 「다시 찾고 싶은 대한민국, 여행약속 캠페인」 실시 | [Feature] 객실을 늘릴 것인가, 숙박의 판을 바꿀 것인가",https://www.hotelrestaurant.co.kr/news/articleView.html?idxno=22101 | https://www.hotelrestaurant.co.kr/news/articleView.html?idxno=22059
여행신문,송미주,2,2026-08-05,인천공항 외국인 비중 첫 50% 돌파…성수기 대책도 달라졌다 | 규모 7.1 강진 덮친 일본 구마모토…국내 여행사들 대응은?,https://www.traveltimes.co.kr/news/articleView.html?idxno=500172 | https://www.traveltimes.co.kr/news/articleView.html?idxno=500146
여행신문,고성호,1,2026-08-03,"백두대간, 그리고 세계유산 [고성호의 관광 개발 이야기]",https://www.traveltimes.co.kr/news/articleView.html?idxno=500134
여행신문,김근수,1,2026-08-03,[글로벌컨설팅 김근수 회계사의 여행사 경영산책] 환율 변동과 여행사의 매출(1),https://www.traveltimes.co.kr/news/articleView.html?idxno=500154
여행신문,김주현 인턴,1,2026-07-29,"OECD가 본 한국 관광…외래객 1,890만명 역대 최대",https://www.traveltimes.co.kr/news/articleView.html?idxno=500127
호텔앤레스토랑,서동해 발행인,1,2026-07-27,[Chairman's Letter] 숙박산업의 양극화와 다변화 그리고 위기와 기회,https://www.hotelrestaurant.co.kr/news/articleView.html?idxno=21938
